delay_id,trip_id,stop_id,service_date,delay_minutes,cause
D0000038,T0001909,S0082,2025-01-03,11,Weather
D0000039,T0001267,S0002,2025-01-04,34,Mechanical
D0000040,T0000818,S0022,2025-01-02,30,Signal
D0000041,T0000449,S0012,2025-01-03,15,Passenger
D0000042,T0000888,S0013,2025-01-02,44,Traffic
D0000043,T0001910,S0094,2025-01-03,1,Signal
D0000044,T0000519,S0061,2025-01-03,33,Passenger
D0000045,T0000809,S0080,2025-01-05,16,Mechanical
D0000046,T0001266,S0092,2025-01-03,27,Passenger
D0000047,T0000651,S0090,2025-01-01,3,Traffic
D0000048,T0001390,S0005,2025-01-04,31,Passenger
D0000049,T0001211,S0015,2025-01-05,35,Traffic
D0000050,T0000613,S0045,2025-01-01,32,Mechanical
D0000051,T0000267,S0098,2025-01-05,29,Mechanical
D0000052,T0000004,S0039,2025-01-02,24,Signal
D0000053,T0000767,S0011,2025-01-04,28,Mechanical
D0000054,T0000176,S0025,2025-01-07,44,Signal
D0000055,T0000475,S0030,2025-01-05,4,Traffic
D0000056,T0000885,S0044,2025-01-07,11,Traffic
D0000057,T0000870,S0058,2025-01-03,41,Passenger
D0000058,T0000044,S0027,2025-01-04,9,Signal
D0000059,T0000538,S0057,2025-01-06,23,Weather
D0000060,T0000022,S0029,2025-01-05,22,Mechanical
D0000061,T0000919,S0095,2025-01-03,33,Passenger
D0000062,T0001493,S0016,2025-01-01,-10,Traffic
D0000063,T0000597,S0075,2025-01-07,20,Mechanical
D0000064,T0001041,S0094,2025-01-06,22,Weather
D0000065,T0000466,S0043,2025-01-05,45,Weather
D0000066,T0000142,S0007,2025-01-06,36,Mechanical
D0000067,T0001360,S0080,2025-01-03,31,Weather
D0000068,T0001619,S0006,2025-01-04,22,Mechanical
D0000069,T0000467,S0044,2025-01-06,6,Signal
D0000070,T0000829,S0075,2025-01-05,39,Weather
D0000071,T0001717,S0096,2025-01-07,14,Weather
D0000072,T0000422,S0055,2025-01-05,18,Signal
D0000073,T0001229,S0003,2025-01-05,30,Signal
D0000074,T0000177,S0056,2025-01-05,3,Passenger
D0000075,T0000753,S0054,2025-01-06,22,Signal
D0000076,T0001466,S0038,2025-01-04,9,Mechanical
D0000077,T0000262,S0027,2025-01-06,43,Passenger
D0000078,T0001245,S0047,2025-01-05,42,Traffic
D0000079,T0001021,S0069,2025-01-04,10,Passenger
D0000080,T0000538,S0037,2025-01-02,26,Signal
D0000081,T0000208,S0013,2025-01-01,41,Passenger
D0000082,T0000224,S0056,2025-01-03,34,Weather
D0000083,T0001901,S0078,2025-01-06,41,Traffic
D0000084,T0001530,S0013,2025-01-03,32,Passenger
D0000085,T0001602,S0059,2025-01-07,29,Traffic
D0000086,T0000762,S0057,2025-01-04,23,Weather
D0000087,T0000810,S0006,2025-01-07,13,Signal
D0000088,T0000040,S0100,2025-01-05,14,Traffic
D0000089,T0001009,S0055,2025-01-05,20,Signal
D0000090,T0001136,S0052,2025-01-05,13,Passenger
D0000091,T0001301,S0057,2025-01-01,23,Passenger
D0000092,T0001369,S0099,2025-01-06,43,Signal
D0000093,T0000944,S0028,2025-01-03,10,Weather
D0000094,T0000473,S0090,2025-01-02,31,Passenger
D0000095,T0001296,S0049,2025-01-01,12,Passenger
D0000096,T0000742,S0100,2025-01-06,38,Mechanical
D0000097,T0000338,S0058,2025-01-05,38,Mechanical
D0000098,T0000917,S0070,2025-01-03,15,Weather
D0000099,T0000278,S0020,2025-01-05,30,Passenger
D0000100,T0000338,S0060,2025-01-02,14,Traffic
D0000101,T0001411,S0030,2025-01-02,45,Traffic
D0000102,T0001310,S0018,2025-01-01,5,Weather
D0000103,T0000506,S0045,2025-01-01,19,Weather
D0000104,T0000048,S0034,2025-01-02,4,Traffic
D0000105,T0001363,S0072,2025-01-01,1,Signal
D0000106,T0001119,S0084,2025-01-01,29,Mechanical
D0000107,T0001695,S0001,2025-01-06,5,Mechanical
D0000108,T0000180,S0011,2025-01-02,35,Mechanical
D0000109,T0000736,S0099,2025-01-03,27,Signal
D0000110,T0001917,S0063,2025-01-06,18,Weather
D0000111,T0001882,S0053,2025-01-07,37,Traffic
D0000112,T0001683,S0012,2025-01-03,24,Mechanical
D0000113,T0000614,S0088,2025-01-02,3,Signal
D0000114,T0000716,S0073,2025-01-01,12,Signal
D0000115,T0000107,S0084,2025-01-04,34,Passenger
D0000116,T0000575,S0046,2025-01-04,25,Passenger
D0000117,T0001979,S0013,2025-01-06,2,Traffic
D0000118,T0001837,S0046,2025-01-06,2,Mechanical
D0000119,T0001159,S0004,2025-01-06,14,Weather
D0000120,T0001013,S0021,2025-01-03,19,Passenger
D0000121,T0001037,S0044,2025-01-03,27,Traffic
D0000122,T0001855,S0034,2025-01-06,40,Weather
D0000123,T0000166,S0095,2025-01-07,13,Traffic
D0000124,T0001419,S0056,2025-01-01,28,Mechanical
D0000125,T0000595,S0089,2025-01-01,15,Signal
D0000126,T0000194,S0094,2025-01-06,17,Mechanical
D0000127,T0000243,S0023,2025-01-06,19,Weather
D0000128,T0000680,S0022,2025-01-06,18,Traffic
D0000129,T0001361,S0004,2025-01-02,29,Traffic
D0000130,T0001672,S0096,2025-01-07,-10,Weather
D0000131,T0000768,S0060,2025-01-03,40,Traffic
D0000132,T0000612,S0013,2025-01-03,40,Traffic
D0000133,T0001135,S0082,2025-01-04,39,Traffic
D0000134,T0000035,S0071,2025-01-02,27,Signal
D0000135,T0001090,S0083,2025-01-07,45,Mechanical
D0000136,T0000850,S0091,2025-01-03,10,Passenger
D0000137,T0001461,S0038,2025-01-03,24,Signal
D0000138,T0001377,S0044,2025-01-02,13,Mechanical
D0000139,T0000425,S0071,2025-01-05,1,Weather
D0000140,T0001227,S0036,2025-01-05,7,Weather
D0000141,T0001546,S0099,2025-01-01,20,Signal
D0000142,T0001768,S0018,2025-01-04,2,Weather
D0000143,T0001014,S0043,2025-01-02,29,Signal
D0000144,T0001654,S0019,2025-01-03,13,Mechanical
D0000145,T0001257,S0017,2025-01-02,37,Traffic
D0000146,T0000660,S0095,2025-01-02,17,Traffic
D0000147,T0000605,S0028,2025-01-04,1,Weather
D0000148,T0000435,S0039,2025-01-07,41,Mechanical
D0000149,T0001885,S0048,2025-01-03,39,Traffic
D0000150,T0001476,S0027,2025-01-04,2,Mechanical
D0000151,T0001808,S0023,2025-01-02,28,Weather
D0000152,T0001191,S0071,2025-01-06,12,Traffic
D0000153,T0001880,S0086,2025-01-07,19,Weather
D0000154,T0000186,S0072,2025-01-06,26,Weather
D0000155,T0001192,S0023,2025-01-01,5,Passenger
D0000156,T0001128,S0048,2025-01-01,5,Traffic
D0000157,T0000649,S0024,2025-01-04,44,Signal
D0000158,T0002000,S0057,2025-01-02,43,Traffic
D0000159,T0001358,S0059,2025-01-02,5,Weather
D0000160,T0001923,S0076,2025-01-02,21,Passenger
D0000161,T0001271,S0077,2025-01-07,17,Weather
D0000162,T0000983,S0011,2025-01-04,21,Traffic
D0000163,T0001330,S0040,2025-01-02,11,Passenger
D0000164,T0001578,S0097,2025-01-03,11,Signal
D0000165,T0000009,S0050,2025-01-01,36,Passenger
D0000166,T0000563,S0081,2025-01-01,41,Passenger
D0000167,T0001312,S0018,2025-01-03,12,Weather
D0000168,T0000324,S0048,2025-01-02,31,Passenger
D0000169,T0000636,S0029,2025-01-02,35,Passenger
D0000170,T0000177,S0031,2025-01-06,21,Signal
D0000171,T0000039,S0016,2025-01-02,1,Mechanical
D0000172,T0000125,S0085,2025-01-06,12,Weather
D0000173,T0000518,S0051,2025-01-02,39,Weather
D0000174,T0000341,S0094,2025-01-04,41,Mechanical
D0000175,T0000127,S0035,2025-01-02,40,Signal
D0000176,T0001970,S0081,2025-01-05,34,Weather
D0000177,T0001626,S0027,2025-01-04,29,Mechanical
D0000178,T0000124,S0010,2025-01-03,34,Passenger
D0000179,T0001177,S0058,2025-01-06,16,Signal
D0000180,T0000605,S0046,2025-01-03,1,Weather
D0000181,T0001581,S0054,2025-01-02,30,Traffic
D0000182,T0000601,S0027,2025-01-01,11,Signal
D0000183,T0000237,S0007,2025-01-07,45,Traffic
D0000184,T0001196,S0059,2025-01-02,44,Weather
D0000185,T0001041,S0093,2025-01-03,30,Traffic
D0000186,T0000209,S0062,2025-01-01,40,Traffic
D0000187,T0000924,S0039,2025-01-06,35,Signal
D0000188,T0000653,S0092,2025-01-01,42,Passenger
D0000189,T0001662,S0092,2025-01-04,43,Signal
D0000190,T0000305,S0074,2025-01-03,33,Weather
D0000191,T0001359,S0050,2025-01-02,45,Mechanical
D0000192,T0001522,S0074,2025-01-03,21,Mechanical
D0000193,T0001772,S0036,2025-01-07,5,Traffic
D0000194,T0001941,S0090,2025-01-05,26,Passenger
D0000195,T0000528,S0045,2025-01-01,2,Passenger
D0000196,T0001666,S0043,2025-01-04,32,Passenger
D0000197,T0001046,S0006,2025-01-01,1,Signal
D0000198,T0000294,S0006,2025-01-07,18,Passenger
D0000199,T0000424,S0089,2025-01-07,35,Signal
D0000200,T0001601,S0047,2025-01-02,5,Weather
D0000201,T0000342,S0072,2025-01-06,4,Passenger
D0000202,T0001317,S0052,2025-01-03,13,Passenger
D0000203,T0001681,S0090,2025-01-04,39,Signal
D0000204,T0001318,S0060,2025-01-07,15,Traffic
D0000205,T0000943,S0002,2025-01-05,12,Passenger
D0000206,T0001492,S0055,2025-01-05,27,Mechanical
D0000207,T0001514,S0018,2025-01-01,37,Weather
D0000208,T0000401,S0085,2025-01-03,6,Passenger
D0000209,T0000367,S0057,2025-01-06,19,Passenger
D0000210,T0001308,S0049,2025-01-06,9,Traffic
D0000211,T0000341,S0010,2025-01-07,39,Weather
D0000212,T0001556,S0085,2025-01-05,18,Signal
D0000213,T0001800,S0063,2025-01-02,39,Traffic
D0000214,T0000223,S0068,2025-01-03,40,Traffic
D0000215,T0001302,S0046,2025-01-05,7,Weather
D0000216,T0001218,S0097,2025-01-07,36,Signal
D0000217,T0001419,S0015,2025-01-04,35,Traffic
D0000218,T0001242,S0013,2025-01-04,18,Traffic
D0000219,T0001910,S0043,2025-01-07,37,Passenger
D0000220,T0000531,S0033,2025-01-07,21,Signal
D0000221,T0000287,S0057,2025-01-01,19,Weather
D0000222,T0001867,S0064,2025-01-02,6,Passenger
D0000223,T0000623,S0048,2025-01-04,25,Traffic
D0000224,T0000053,S0024,2025-01-07,39,Traffic
D0000225,T0001886,S0019,2025-01-03,19,Traffic
D0000226,T0001351,S0009,2025-01-05,45,Traffic
D0000227,T0000714,S0030,2025-01-01,45,Weather
D0000228,T0000129,S0047,2025-01-07,14,Weather
D0000229,T0001749,S0096,2025-01-07,34,Traffic
D0000230,T0001734,S0047,2025-01-03,23,Signal
D0000231,T0000248,S0007,2025-01-05,16,Signal
D0000232,T0001788,S0049,2025-01-05,20,Weather
D0000233,T0000500,S0056,2025-01-04,44,Passenger
D0000234,T0001091,S0011,2025-01-07,4,Traffic
D0000235,T0000790,S0088,2025-01-02,16,Signal
D0000236,T0001305,S0028,2025-01-03,6,Weather
D0000237,T0001791,S0011,2025-01-06,13,Traffic
D0000238,T0000531,S0071,2025-01-03,16,Signal
D0000239,T0000166,S0075,2025-01-01,6,Mechanical
D0000240,T0001618,S0086,2025-01-01,39,Weather
D0000241,T0001232,S0046,2025-01-01,11,Mechanical
D0000242,T0001386,S0063,2025-01-02,24,Traffic
D0000243,T0000555,S0073,2025-01-02,24,Mechanical
D0000244,T0000923,S0056,2025-01-01,33,Weather
D0000245,T0000784,S0061,2025-01-06,35,Traffic
D0000246,T0000850,S0059,2025-01-07,24,Signal
D0000247,T0000329,S0058,2025-01-07,28,Passenger
D0000248,T0001053,S0099,2025-01-05,44,Traffic
D0000249,T0001681,S0014,2025-01-02,11,Mechanical
D0000250,T0000529,S0096,2025-01-03,9,Mechanical
D0000251,T0000797,S0009,2025-01-07,19,Signal
D0000252,T0001916,S0006,2025-01-02,-10,Traffic
D0000253,T0000767,S0010,2025-01-07,40,Mechanical
D0000254,T0000945,S0054,2025-01-03,31,Mechanical
D0000255,T0000723,S0053,2025-01-01,20,Traffic
D0000256,T0001973,S0035,2025-01-06,27,Signal
D0000257,T0000896,S0075,2025-01-01,10,Passenger
D0000258,T0001389,S0058,2025-01-01,31,Weather
D0000259,T0001856,S0011,2025-01-07,33,Weather
D0000260,T0001460,S0042,2025-01-02,2,Mechanical
D0000261,T0000677,S0077,2025-01-03,11,Mechanical
D0000262,T0000137,S0090,2025-01-03,44,Passenger
D0000263,T0000142,S0069,2025-01-05,6,Weather
D0000264,T0000440,S0056,2025-01-01,34,Mechanical
D0000265,T0001932,S0029,2025-01-07,44,Mechanical
D0000266,T0000212,S0033,2025-01-01,26,Mechanical
D0000267,T0000120,S0085,2025-01-05,35,Signal
D0000268,T0000016,S0100,2025-01-01,32,Weather
D0000269,T0001935,S0013,2025-01-01,23,Signal
D0000270,T0001956,S0023,2025-01-01,10,Passenger
D0000271,T0000652,S0005,2025-01-07,6,Mechanical
D0000272,T0001578,S0006,2025-01-05,25,Passenger
D0000273,T0000745,S0042,2025-01-01,21,Traffic
D0000274,T0001792,S0041,2025-01-04,10,Passenger
D0000275,T0000440,S0088,2025-01-04,1,Signal
D0000276,T0000939,S0016,2025-01-01,11,Traffic
D0000277,T0000159,S0089,2025-01-02,33,Mechanical
D0000278,T0000489,S0047,2025-01-04,40,Signal
D0000279,T0000779,S0100,2025-01-04,45,Weather
D0000280,T0001960,S0060,2025-01-06,15,Passenger
D0000281,T0001499,S0017,2025-01-04,5,Mechanical
D0000282,T0001505,S0007,2025-01-01,17,Traffic
D0000283,T0001984,S0096,2025-01-05,22,Traffic
D0000284,T0000047,S0086,2025-01-02,32,Weather
D0000285,T0000129,S0075,2025-01-07,13,Signal
D0000286,T0001482,S0059,2025-01-05,3,Passenger
D0000287,T0000808,S0062,2025-01-05,15,Traffic
D0000288,T0001544,S0010,2025-01-07,38,Mechanical
D0000289,T0000057,S0081,2025-01-04,33,Passenger
D0000290,T0000708,S0023,2025-01-07,29,Signal
D0000291,T0000290,S0097,2025-01-06,15,Mechanical
D0000292,T0001287,S0015,2025-01-03,16,Passenger
D0000293,T0000259,S0016,2025-01-05,27,Traffic
D0000294,T0000159,S0057,2025-01-02,12,Signal
D0000295,T0001433,S0014,2025-01-03,24,Mechanical
D0000296,T0000195,S0068,2025-01-01,4,Weather
D0000297,T0001597,S0045,2025-01-07,16,Signal
D0000298,T0000488,S0037,2025-01-05,9,Mechanical
D0000299,T0000139,S0089,2025-01-04,22,Weather
D0000300,T0001449,S0041,2025-01-02,10,Mechanical
D0000301,T0000211,S0056,2025-01-03,30,Traffic
D0000302,T0001145,S0056,2025-01-05,19,Signal
D0000303,T0001012,S0081,2025-01-06,36,Traffic
D0000304,T0000483,S0095,2025-01-02,27,Weather
D0000305,T0001590,S0075,2025-01-01,20,Passenger
D0000306,T0001829,S0055,2025-01-07,23,Passenger
D0000307,T0001544,S0099,2025-01-01,5,Passenger
D0000308,T0000811,S0066,2025-01-03,3,Signal
D0000309,T0001976,S0075,2025-01-07,14,Signal
D0000310,T0000941,S0008,2025-01-02,4,Signal
D0000311,T0001266,S0065,2025-01-02,10,Mechanical
D0000312,T0001949,S0095,2025-01-07,36,Passenger
D0000313,T0000953,S0076,2025-01-05,36,Passenger
D0000314,T0000865,S0027,2025-01-07,3,Weather
D0000315,T0001797,S0016,2025-01-03,18,Weather
D0000316,T0001126,S0098,2025-01-03,22,Traffic
D0000317,T0000244,S0012,2025-01-07,21,Signal
D0000318,T0000871,S0078,2025-01-02,8,Mechanical
D0000319,T0001437,S0038,2025-01-01,42,Weather
D0000320,T0001421,S0084,2025-01-07,21,Passenger
D0000321,T0001917,S0061,2025-01-07,41,Mechanical
D0000322,T0001515,S0009,2025-01-05,20,Mechanical
D0000323,T0001605,S0010,2025-01-07,10,Weather
D0000324,T0001430,S0005,2025-01-05,39,Passenger
D0000325,T0000617,S0016,2025-01-06,9,Weather
D0000326,T0000801,S0078,2025-01-02,6,Passenger
D0000327,T0000504,S0064,2025-01-05,20,Mechanical
D0000328,T0001087,S0029,2025-01-07,8,Passenger
D0000329,T0001437,S0030,2025-01-05,14,Passenger
D0000330,T0001218,S0053,2025-01-01,27,Traffic
D0000331,T0000697,S0065,2025-01-01,28,Weather
D0000332,T0001712,S0039,2025-01-02,2,Traffic
D0000333,T0000087,S0019,2025-01-06,40,Weather
D0000334,T0001297,S0010,2025-01-07,1,Passenger
D0000335,T0001306,S0081,2025-01-05,32,Weather
D0000336,T0000833,S0017,2025-01-07,45,Traffic
D0000337,T0000544,S0069,2025-01-03,26,Weather
D0000338,T0001925,S0013,2025-01-07,8,Passenger
D0000339,T0000427,S0083,2025-01-01,40,Passenger
D0000340,T0000845,S0049,2025-01-04,2,Traffic
D0000341,T0001528,S0056,2025-01-02,31,Signal
D0000342,T0000299,S0008,2025-01-07,35,Signal
D0000343,T0001269,S0063,2025-01-04,36,Mechanical
D0000344,T0000531,S0092,2025-01-06,27,Weather
D0000345,T0001456,S0077,2025-01-07,41,Passenger
D0000346,T0000251,S0085,2025-01-07,26,Passenger
D0000347,T0001645,S0077,2025-01-06,37,Passenger
D0000348,T0001096,S0024,2025-01-03,12,Mechanical
D0000349,T0000911,S0064,2025-01-03,40,Passenger
D0000350,T0001045,S0042,2025-01-04,3,Signal
D0000351,T0000135,S0097,2025-01-03,42,Mechanical
D0000352,T0000681,S0019,2025-01-02,19,Signal
D0000353,T0000213,S0071,2025-01-05,34,Signal
D0000354,T0000993,S0005,2025-01-05,26,Signal
D0000355,T0001619,S0031,2025-01-07,16,Weather
D0000356,T0000457,S0090,2025-01-05,43,Traffic
D0000357,T0001060,S0088,2025-01-05,30,Signal
D0000358,T0000020,S0051,2025-01-03,5,Traffic
D0000359,T0001568,S0061,2025-01-04,44,Mechanical
D0000360,T0000457,S0036,2025-01-05,38,Traffic
D0000361,T0001227,S0083,2025-01-07,19,Weather
D0000362,T0001429,S0100,2025-01-07,3,Signal
D0000363,T0000725,S0031,2025-01-07,27,Mechanical
D0000364,T0001534,S0065,2025-01-02,6,Signal
D0000365,T0000811,S0047,2025-01-02,26,Traffic
D0000366,T0000837,S0077,2025-01-07,27,Mechanical
D0000367,T0001948,S0090,2025-01-05,17,Traffic
D0000368,T0000555,S0099,2025-01-03,24,Traffic
D0000369,T0000277,S0066,2025-01-01,18,Passenger
D0000370,T0000225,S0048,2025-01-05,15,Signal
D0000371,T0000663,S0066,2025-01-04,44,Mechanical
D0000372,T0000723,S0002,2025-01-03,15,Traffic
D0000373,T0000535,S0050,2025-01-03,2,Traffic
D0000374,T0001089,S0076,2025-01-07,1,Traffic
D0000375,T0000402,S0073,2025-01-02,10,Mechanical
D0000376,T0000010,S0058,2025-01-03,36,Weather
D0000377,T0000126,S0005,2025-01-03,42,Signal
D0000378,T0000813,S0009,2025-01-03,22,Mechanical
D0000379,T0000106,S0082,2025-01-07,5,Passenger
D0000380,T0001689,S0098,2025-01-03,5,Passenger
D0000381,T0000337,S0003,2025-01-05,33,Weather
D0000382,T0000925,S0022,2025-01-04,20,Signal
D0000383,T0000465,S0006,2025-01-05,5,Traffic
D0000384,T0001937,S0020,2025-01-01,21,Mechanical
D0000385,T0000793,S0004,2025-01-02,21,Traffic
D0000386,T0001645,S0025,2025-01-03,13,Weather
D0000387,T0001406,S0025,2025-01-04,4,Weather
D0000388,T0000242,S0055,2025-01-01,19,Mechanical
D0000389,T0001298,S0017,2025-01-02,28,Passenger
D0000390,T0000753,S0084,2025-01-07,12,Weather
D0000391,T0000055,S0051,2025-01-06,27,Passenger
D0000392,T0000094,S0036,2025-01-01,17,Signal
D0000393,T0000772,S0043,2025-01-07,22,Passenger
D0000394,T0000272,S0058,2025-01-05,18,Mechanical
D0000395,T0000478,S0052,2025-01-04,8,Signal
D0000396,T0000102,S0046,2025-01-06,44,Mechanical
D0000397,T0001472,S0042,2025-01-01,21,Mechanical
D0000398,T0001829,S0014,2025-01-06,39,Traffic
D0000399,T0000487,S0040,2025-01-03,43,Weather
D0000400,T0000195,S0022,2025-01-01,23,Passenger
D0000401,T0001584,S0097,2025-01-04,32,Mechanical
D0000402,T0001224,S0003,2025-01-02,36,Weather
D0000403,T0000292,S0045,2025-01-07,7,Traffic
D0000404,T0001701,S0038,2025-01-04,35,Weather
D0000405,T0000450,S0085,2025-01-07,24,Passenger
D0000406,T0001252,S0016,2025-01-01,3,Signal
D0000407,T0000344,S0098,2025-01-02,15,Traffic
D0000408,T0000139,S0050,2025-01-06,16,Signal
D0000409,T0000579,S0035,2025-01-05,9,Passenger
D0000410,T0001779,S0019,2025-01-03,30,Passenger
D0000411,T0000078,S0024,2025-01-04,25,Weather
D0000412,T0001471,S0030,2025-01-03,29,Signal
D0000413,T0001088,S0015,2025-01-03,34,Weather
D0000414,T0000787,S0003,2025-01-03,33,Passenger
D0000415,T0000693,S0015,2025-01-03,44,Traffic
D0000416,T0000491,S0004,2025-01-04,10,Mechanical
D0000417,T0000408,S0029,2025-01-01,23,Signal
D0000418,T0001062,S0098,2025-01-05,32,Mechanical
D0000419,T0000214,S0092,2025-01-07,12,Mechanical
D0000420,T0001700,S0011,2025-01-06,45,Mechanical
D0000421,T0001476,S0081,2025-01-07,35,Passenger
D0000422,T0000629,S0090,2025-01-07,5,Weather
D0000423,T0000666,S0077,2025-01-04,4,Passenger
D0000424,T0001647,S0007,2025-01-04,45,Passenger
D0000425,T0000351,S0064,2025-01-01,15,Weather
D0000426,T0000312,S0032,2025-01-01,22,Weather
D0000427,T0000289,S0001,2025-01-01,40,Weather
D0000428,T0001788,S0091,2025-01-03,33,Signal
D0000429,T0001830,S0027,2025-01-05,5,Weather
D0000430,T0001138,S0095,2025-01-04,40,Weather
D0000431,T0000273,S0030,2025-01-04,15,Mechanical
D0000432,T0001145,S0065,2025-01-07,1,Mechanical
D0000433,T0001103,S0028,2025-01-07,38,Weather
D0000434,T0001631,S0066,2025-01-04,10,Signal
D0000435,T0000134,S0015,2025-01-07,25,Traffic
D0000436,T0000661,S0080,2025-01-07,27,Weather
D0000437,T0000987,S0081,2025-01-01,18,Weather
D0000438,T0000380,S0032,2025-01-03,40,Passenger
D0000439,T0000744,S0028,2025-01-07,43,Passenger
D0000440,T0000243,S0093,2025-01-07,43,Mechanical
D0000441,T0001946,S0075,2025-01-02,35,Passenger
D0000442,T0001734,S0026,2025-01-05,14,Traffic
D0000443,T0001563,S0092,2025-01-02,44,Passenger
D0000444,T0001216,S0051,2025-01-05,12,Mechanical
D0000445,T0001997,S0063,2025-01-05,11,Traffic
D0000446,T0001933,S0050,2025-01-01,43,Passenger
D0000447,T0000215,S0032,2025-01-06,3,Traffic
D0000448,T0000814,S0028,2025-01-01,4,Traffic
D0000449,T0001898,S0001,2025-01-02,41,Traffic
D0000450,T0000388,S0051,2025-01-07,10,Mechanical
D0000451,T0000248,S0082,2025-01-03,17,Weather
D0000452,T0001261,S0070,2025-01-04,9,Mechanical
D0000453,T0000034,S0001,2025-01-05,17,Traffic
D0000454,T0001837,S0035,2025-01-04,30,Weather
D0000455,T0000240,S0019,2025-01-05,24,Mechanical
D0000456,T0001612,S0005,2025-01-03,40,Passenger
D0000457,T0000927,S0042,2025-01-06,41,Passenger
D0000458,T0001266,S0095,2025-01-06,37,Traffic
D0000459,T0000158,S0010,2025-01-01,23,Traffic
D0000460,T0000865,S0008,2025-01-01,43,Traffic
D0000461,T0000211,S0045,2025-01-02,33,Weather
D0000462,T0001407,S0027,2025-01-02,18,Signal
D0000463,T0001867,S0023,2025-01-05,16,Weather
D0000464,T0000608,S0073,2025-01-06,38,Signal
D0000465,T0000811,S0028,2025-01-05,39,Traffic
D0000466,T0001452,S0065,2025-01-03,13,Weather
D0000467,T0000436,S0093,2025-01-04,10,Weather
D0000468,T0000335,S0020,2025-01-02,39,Passenger
D0000469,T0000219,S0089,2025-01-05,36,Weather
D0000470,T0000639,S0085,2025-01-02,37,Signal
D0000471,T0000964,S0015,2025-01-03,15,Signal
D0000472,T0000406,S0026,2025-01-04,1,Mechanical
D0000473,T0001684,S0066,2025-01-05,5,Passenger
D0000474,T0001084,S0049,2025-01-05,21,Mechanical
D0000475,T0000479,S0050,2025-01-07,25,Passenger
D0000476,T0000892,S0032,2025-01-03,13,Passenger
D0000477,T0001818,S0081,2025-01-05,7,Passenger
D0000478,T0001699,S0029,2025-01-07,36,Weather
D0000479,T0001321,S0034,2025-01-07,18,Mechanical
D0000480,T0001005,S0069,2025-01-03,38,Traffic
D0000481,T0000627,S0095,2025-01-06,3,Mechanical
D0000482,T0000048,S0092,2025-01-04,34,Signal
D0000483,T0001823,S0078,2025-01-01,39,Passenger
D0000484,T0001875,S0005,2025-01-07,17,Signal
D0000485,T0001437,S0050,2025-01-02,31,Mechanical
D0000486,T0000495,S0082,2025-01-02,16,Traffic
D0000487,T0000601,S0018,2025-01-01,9,Weather
D0000488,T0001282,S0094,2025-01-05,43,Traffic
D0000489,T0001406,S0018,2025-01-02,44,Traffic
D0000490,T0001970,S0060,2025-01-06,17,Weather
D0000491,T0000920,S0088,2025-01-04,12,Mechanical
D0000492,T0001723,S0034,2025-01-01,18,Mechanical
D0000493,T0000695,S0080,2025-01-06,17,Traffic
D0000494,T0000637,S0095,2025-01-02,44,Passenger
D0000495,T0001225,S0016,2025-01-07,24,Traffic
D0000496,T0000027,S0005,2025-01-06,5,Traffic
D0000497,T0001640,S0022,2025-01-07,13,Mechanical
D0000498,T0001699,S0016,2025-01-03,28,Traffic
D0000499,T0001870,S0072,2025-01-05,15,Traffic
D0000500,T0000701,S0094,2025-01-07,7,Passenger
D0000501,T0001670,S0058,2025-01-03,11,Weather
