passenger_id,card_type
P000849,Monthly
P000850,Standard
P000851,Monthly
P000852,Student
P000853,Standard
P000854,Senior
P000855,Senior
P000856,Monthly
P000857,Standard
P000858,Senior
P000859,Monthly
P000860,Senior
P000861,Monthly
P000862,Senior
P000863,Monthly
P000864,Standard
P000865,Student
P000866,Standard
P000867,Standard
P000868,Monthly
P000869,Monthly
P000870,Senior
P000871,Student
P000872,Senior
P000873,Monthly
P000874,Student
P000875,Senior
P000876,Standard
P000877,Monthly
P000878,Student
P000879,Standard
P000880,Monthly
P000881,Monthly
P000882,Student
P000883,Senior
P000884,Senior
P000885,Student
P000886,Standard
P000887,Monthly
P000888,Standard
P000889,Monthly
P000890,Standard
P000891,Standard
P000892,Standard
P000893,Senior
P000894,Student
P000895,Student
P000896,Senior
P000897,Standard
P000898,Standard
P000899,Senior
P000900,Student
P000901,Monthly
P000902,Standard
P000903,Senior
P000904,Senior
P000905,Student
P000906,Senior
P000907,Monthly
P000908,Monthly
P000909,Senior
P000910,Senior
P000911,Student
P000912,Senior
P000913,Student
P000914,Monthly
P000915,Standard
P000916,Student
P000917,Standard
P000918,Student
P000919,Senior
P000920,Monthly
P000921,Student
P000922,Monthly
P000923,Senior
P000924,Student
P000925,Senior
P000926,Senior
P000927,Student
P000928,Senior
P000929,Senior
P000930,Monthly
P000931,Senior
P000932,Student
P000933,Standard
P000934,Student
P000935,Monthly
P000936,Student
P000937,Senior
P000938,Standard
P000939,Monthly
P000940,Standard
P000941,Student
P000942,Student
P000943,Standard
P000944,Monthly
P000945,Monthly
P000946,Monthly
P000947,Student
P000948,Student
P000949,Senior
P000950,Senior
P000951,Student
P000952,Senior
P000953,Senior
P000954,Senior
P000955,Standard
P000956,Standard
P000957,Standard
P000958,Standard
P000959,Student
P000960,Monthly
P000961,Senior
P000962,Monthly
P000963,Senior
P000964,Monthly
P000965,Monthly
P000966,Senior
P000967,Standard
P000968,Senior
P000969,Monthly
P000970,Standard
P000971,Standard
P000972,Monthly
P000973,Student
P000974,Student
P000975,Student
P000976,Monthly
P000977,Senior
P000978,Student
P000979,Senior
P000980,Senior
P000981,Student
P000982,Monthly
P000983,Monthly
P000984,Senior
P000985,Standard
P000986,Student
P000987,Senior
P000988,Standard
P000989,Standard
P000990,Student
P000991,Student
P000992,Student
P000993,Monthly
P000994,Student
P000995,Standard
P000996,Student
P000997,Student
P000998,Student
P000999,Standard
P001000,Student
