trip_id,route_id,vehicle_id,service_date,scheduled_start,status
T0000228,R010,V0048,2025-01-05,08:00:00,Completed
T0000229,R015,V0034,2025-01-03,08:00:00,Completed
T0000230,R002,V0011,2025-01-04,08:00:00,Completed
T0000231,R003,V0019,2025-01-05,08:00:00,Completed
T0000232,R020,V0046,2025-01-05,08:00:00,Completed
T0000233,R018,V0036,2025-01-06,08:00:00,Completed
T0000234,R016,V0010,2025-01-02,08:00:00,Completed
T0000235,R019,V0026,2025-01-05,08:00:00,Completed
T0000236,R012,V0035,2025-01-07,08:00:00,Completed
T0000237,R007,V0001,2025-01-04,08:00:00,Completed
T0000238,R015,V0009,2025-01-01,08:00:00,Completed
T0000239,R013,V0008,2025-01-01,08:00:00,Completed
T0000240,R017,V0022,2025-01-07,08:00:00,Completed
T0000241,R004,V0009,2025-01-06,08:00:00,Completed
T0000242,R015,V0034,2025-01-03,08:00:00,Completed
T0000243,R011,V0011,2025-01-07,08:00:00,Completed
T0000244,R001,V0036,2025-01-03,08:00:00,Completed
T0000245,R008,V0037,2025-01-07,08:00:00,Completed
T0000246,R007,V0020,2025-01-07,08:00:00,Completed
T0000247,R008,V0010,2025-01-02,08:00:00,Completed
T0000248,R002,V0049,2025-01-05,08:00:00,Completed
T0000249,R007,V0045,2025-01-05,08:00:00,Completed
T0000250,R019,V0001,2025-01-05,08:00:00,Completed
T0000251,R010,V0003,2025-01-03,08:00:00,Completed
T0000252,R020,V0037,2025-01-06,08:00:00,Completed
T0000253,R007,V0033,2025-01-01,08:00:00,Completed
T0000254,R009,V0033,2025-01-01,08:00:00,Completed
T0000255,R008,V0008,2025-01-07,08:00:00,Completed
T0000256,R016,V0030,2025-01-01,08:00:00,Completed
T0000257,R002,V0020,2025-01-01,08:00:00,Completed
T0000258,R008,V0027,2025-01-01,08:00:00,Completed
T0000259,R008,V0026,2025-01-06,08:00:00,Completed
T0000260,R009,V0029,2025-01-04,08:00:00,Completed
T0000261,R007,V0031,2025-01-06,08:00:00,Completed
T0000262,R008,V0014,2025-01-03,08:00:00,Completed
T0000263,R010,V0008,2025-01-01,08:00:00,Completed
T0000264,R006,V0006,2025-01-04,08:00:00,Cancelled
T0000265,R009,V0008,2025-01-05,08:00:00,Completed
T0000266,R019,V0002,2025-01-01,08:00:00,Completed
T0000267,R017,V0043,2025-01-06,08:00:00,Completed
T0000268,R016,V0006,2025-01-01,08:00:00,Completed
T0000269,R002,V0002,2025-01-05,08:00:00,Completed
T0000270,R016,V0027,2025-01-01,08:00:00,Completed
T0000271,R006,V0034,2025-01-02,08:00:00,Completed
T0000272,R007,V0016,2025-01-01,08:00:00,Completed
T0000273,R001,V0044,2025-01-02,08:00:00,Completed
T0000274,R005,V0019,2025-01-04,08:00:00,Completed
T0000275,R019,V0041,2025-01-02,08:00:00,Completed
T0000276,R003,V0043,2025-01-02,08:00:00,Completed
T0000277,R015,V0048,2025-01-02,08:00:00,Completed
T0000278,R001,V0001,2025-01-03,08:00:00,Completed
T0000279,R002,V0031,2025-01-03,08:00:00,Completed
T0000280,R017,V0013,2025-01-02,08:00:00,Completed
T0000281,R011,V0039,2025-01-04,08:00:00,Completed
T0000282,R011,V0019,2025-01-03,08:00:00,Completed
T0000283,R014,V0005,2025-01-07,08:00:00,Completed
T0000284,R010,V0027,2025-01-06,08:00:00,Completed
T0000285,R015,V0013,2025-01-05,08:00:00,Completed
T0000286,R004,V0049,2025-01-02,08:00:00,Completed
T0000287,R015,V0012,2025-01-05,08:00:00,Completed
T0000288,R002,V0001,2025-01-02,08:00:00,Completed
T0000289,R018,V0005,2025-01-01,08:00:00,Cancelled
T0000290,R017,V0009,2025-01-02,08:00:00,Completed
T0000291,R012,V0048,2025-01-02,08:00:00,Completed
T0000292,R014,V0040,2025-01-02,08:00:00,Completed
T0000293,R004,V0011,2025-01-04,08:00:00,Completed
T0000294,R018,V0047,2025-01-04,08:00:00,Completed
T0000295,R003,V0011,2025-01-04,08:00:00,Completed
T0000296,R013,V0013,2025-01-07,08:00:00,Completed
T0000297,R018,V0040,2025-01-04,08:00:00,Completed
T0000298,R011,V0039,2025-01-02,08:00:00,Completed
T0000299,R012,V0021,2025-01-02,08:00:00,Completed
T0000300,R006,V0008,2025-01-07,08:00:00,Completed
T0000301,R015,V0045,2025-01-06,08:00:00,Completed
T0000302,R019,V0028,2025-01-02,08:00:00,Completed
T0000303,R002,V0045,2025-01-06,08:00:00,Completed
T0000304,R020,V0007,2025-01-04,08:00:00,Completed
T0000305,R003,V0028,2025-01-04,08:00:00,Completed
T0000306,R014,V0049,2025-01-02,08:00:00,Completed
T0000307,R010,V0040,2025-01-01,08:00:00,Completed
T0000308,R007,V0015,2025-01-03,08:00:00,Completed
T0000309,R009,V0028,2025-01-05,08:00:00,Completed
T0000310,R013,V0048,2025-01-04,08:00:00,Completed
T0000311,R012,V0027,2025-01-04,08:00:00,Completed
T0000312,R012,V0036,2025-01-04,08:00:00,Completed
T0000313,R019,V0037,2025-01-03,08:00:00,Completed
T0000314,R011,V0021,2025-01-03,08:00:00,Completed
T0000315,R020,V0038,2025-01-07,08:00:00,Completed
T0000316,R006,V0018,2025-01-04,08:00:00,Completed
T0000317,R011,V0019,2025-01-02,08:00:00,Completed
T0000318,R019,V0013,2025-01-07,08:00:00,Completed
T0000319,R005,V0007,2025-01-02,08:00:00,Completed
T0000320,R008,V0006,2025-01-02,08:00:00,Completed
T0000321,R010,V0043,2025-01-07,08:00:00,Completed
T0000322,R015,V0002,2025-01-01,08:00:00,Completed
T0000323,R009,V0014,2025-01-03,08:00:00,Completed
T0000324,R014,V0018,2025-01-04,08:00:00,Completed
T0000325,R007,V0036,2025-01-04,08:00:00,Completed
T0000326,R011,V0039,2025-01-07,08:00:00,Completed
T0000327,R013,V0042,2025-01-03,08:00:00,Completed
T0000328,R006,V0026,2025-01-05,08:00:00,Completed
T0000329,R003,V0039,2025-01-07,08:00:00,Completed
T0000330,R008,V0039,2025-01-01,08:00:00,Completed
T0000331,R004,V0046,2025-01-05,08:00:00,Completed
T0000332,R016,V0015,2025-01-06,08:00:00,Completed
T0000333,R009,V0030,2025-01-05,08:00:00,Completed
T0000334,R018,V0023,2025-01-06,08:00:00,Completed
T0000335,R004,V0004,2025-01-04,08:00:00,Completed
T0000336,R002,V0040,2025-01-05,08:00:00,Completed
T0000337,R019,V0005,2025-01-02,08:00:00,Completed
T0000338,R003,V0049,2025-01-06,08:00:00,Completed
T0000339,R007,V0012,2025-01-04,08:00:00,Completed
T0000340,R001,V0005,2025-01-03,08:00:00,Completed
T0000341,R006,V0036,2025-01-03,08:00:00,Completed
T0000342,R002,V0007,2025-01-02,08:00:00,Completed
T0000343,R010,V0036,2025-01-04,08:00:00,Completed
T0000344,R013,V0015,2025-01-05,08:00:00,Completed
T0000345,R018,V0024,2025-01-04,08:00:00,Completed
T0000346,R015,V0019,2025-01-01,08:00:00,Completed
T0000347,R005,V0009,2025-01-04,08:00:00,Completed
T0000348,R007,V0024,2025-01-01,08:00:00,Completed
T0000349,R010,V0035,2025-01-04,08:00:00,Completed
T0000350,R017,V0047,2025-01-05,08:00:00,Completed
T0000351,R006,V0003,2025-01-04,08:00:00,Completed
T0000352,R014,V0033,2025-01-04,08:00:00,Completed
T0000353,R002,V0045,2025-01-06,08:00:00,Completed
T0000354,R008,V0012,2025-01-05,08:00:00,Completed
T0000355,R011,V0032,2025-01-03,08:00:00,Completed
T0000356,R015,V0042,2025-01-03,08:00:00,Completed
T0000357,R009,V0039,2025-01-06,08:00:00,Completed
T0000358,R011,V0019,2025-01-01,08:00:00,Completed
T0000359,R002,V0025,2025-01-02,08:00:00,Completed
T0000360,R014,V0017,2025-01-01,08:00:00,Completed
T0000361,R009,V0049,2025-01-06,08:00:00,Completed
T0000362,R010,V0006,2025-01-05,08:00:00,Completed
T0000363,R011,V0020,2025-01-03,08:00:00,Completed
T0000364,R019,V0037,2025-01-07,08:00:00,Completed
T0000365,R005,V0022,2025-01-03,08:00:00,Completed
T0000366,R015,V0007,2025-01-01,08:00:00,Completed
T0000367,R001,V0014,2025-01-05,08:00:00,Completed
T0000368,R002,V0016,2025-01-01,08:00:00,Completed
T0000369,R005,V0039,2025-01-05,08:00:00,Completed
T0000370,R001,V0005,2025-01-02,08:00:00,Completed
T0000371,R004,V0031,2025-01-03,08:00:00,Completed
T0000372,R008,V0037,2025-01-07,08:00:00,Completed
T0000373,R004,V0030,2025-01-05,08:00:00,Completed
T0000374,R012,V0005,2025-01-05,08:00:00,Completed
T0000375,R014,V0016,2025-01-05,08:00:00,Completed
T0000376,R020,V0028,2025-01-03,08:00:00,Completed
T0000377,R010,V0006,2025-01-07,08:00:00,Completed
T0000378,R016,V0037,2025-01-06,08:00:00,Completed
T0000379,R010,V0038,2025-01-04,08:00:00,Completed
T0000380,R012,V0043,2025-01-01,08:00:00,Completed
T0000381,R011,V0026,2025-01-04,08:00:00,Completed
T0000382,R019,V0006,2025-01-01,08:00:00,Completed
T0000383,R006,V0007,2025-01-07,08:00:00,Completed
T0000384,R015,V0028,2025-01-03,08:00:00,Completed
T0000385,R017,V0027,2025-01-06,08:00:00,Completed
T0000386,R012,V0019,2025-01-01,08:00:00,Completed
T0000387,R017,V0048,2025-01-01,08:00:00,Completed
T0000388,R004,V0016,2025-01-06,08:00:00,Completed
T0000389,R011,V0030,2025-01-05,08:00:00,Completed
T0000390,R014,V0013,2025-01-06,08:00:00,Completed
T0000391,R014,V0011,2025-01-05,08:00:00,Completed
T0000392,R020,V0041,2025-01-06,08:00:00,Completed
T0000393,R006,V0042,2025-01-04,08:00:00,Completed
T0000394,R002,V0019,2025-01-01,08:00:00,Completed
T0000395,R004,V0004,2025-01-04,08:00:00,Completed
T0000396,R005,V0011,2025-01-05,08:00:00,Completed
T0000397,R002,V0009,2025-01-06,08:00:00,Completed
T0000398,R002,V0030,2025-01-05,08:00:00,Completed
T0000399,R003,V0018,2025-01-06,08:00:00,Completed
T0000400,R011,V0028,2025-01-01,08:00:00,Completed
T0000401,R009,V0028,2025-01-03,08:00:00,Completed
T0000402,R004,V0015,2025-01-06,08:00:00,Completed
T0000403,R020,V0037,2025-01-01,08:00:00,Completed
T0000404,R018,V0002,2025-01-05,08:00:00,Completed
T0000405,R018,V0021,2025-01-03,08:00:00,Completed
T0000406,R006,V0001,2025-01-06,08:00:00,Completed
T0000407,R012,V0034,2025-01-05,08:00:00,Completed
T0000408,R008,V0037,2025-01-06,08:00:00,Completed
T0000409,R001,V0035,2025-01-05,08:00:00,Completed
T0000410,R015,V0043,2025-01-02,08:00:00,Completed
T0000411,R005,V0003,2025-01-01,08:00:00,Completed
T0000412,R004,V0032,2025-01-04,08:00:00,Completed
T0000413,R011,V0046,2025-01-05,08:00:00,Completed
T0000414,R018,V0002,2025-01-04,08:00:00,Completed
T0000415,R009,V0008,2025-01-02,08:00:00,Completed
T0000416,R018,V0043,2025-01-02,08:00:00,Completed
T0000417,R002,V0004,2025-01-01,08:00:00,Completed
T0000418,R016,V0030,2025-01-04,08:00:00,Completed
T0000419,R003,V0007,2025-01-01,08:00:00,Completed
T0000420,R003,V0002,2025-01-04,08:00:00,Completed
T0000421,R016,V0014,2025-01-05,08:00:00,Completed
T0000422,R003,V0045,2025-01-02,08:00:00,Completed
T0000423,R019,V0011,2025-01-01,08:00:00,Completed
T0000424,R015,V0026,2025-01-04,08:00:00,Completed
T0000425,R004,V0003,2025-01-01,08:00:00,Completed
T0000426,R017,V0038,2025-01-04,08:00:00,Completed
T0000427,R003,V0044,2025-01-05,08:00:00,Completed
T0000428,R002,V0027,2025-01-04,08:00:00,Completed
T0000429,R003,V0019,2025-01-07,08:00:00,Completed
T0000430,R006,V0024,2025-01-01,08:00:00,Completed
T0000431,R003,V0049,2025-01-01,08:00:00,Completed
T0000432,R016,V0043,2025-01-07,08:00:00,Completed
T0000433,R017,V0023,2025-01-04,08:00:00,Cancelled
T0000434,R020,V0036,2025-01-01,08:00:00,Completed
T0000435,R015,V0049,2025-01-03,08:00:00,Completed
T0000436,R010,V0024,2025-01-02,08:00:00,Completed
T0000437,R018,V0049,2025-01-03,08:00:00,Completed
T0000438,R016,V0044,2025-01-05,08:00:00,Completed
T0000439,R010,V0022,2025-01-01,08:00:00,Completed
T0000440,R012,V0026,2025-01-01,08:00:00,Completed
T0000441,R018,V0012,2025-01-02,08:00:00,Completed
T0000442,R020,V0018,2025-01-04,08:00:00,Completed
T0000443,R012,V0049,2025-01-05,08:00:00,Completed
T0000444,R019,V0007,2025-01-04,08:00:00,Completed
T0000445,R013,V0046,2025-01-02,08:00:00,Completed
T0000446,R005,V0034,2025-01-04,08:00:00,Completed
T0000447,R008,V0048,2025-01-02,08:00:00,Completed
T0000448,R001,V0018,2025-01-03,08:00:00,Completed
T0000449,R007,V0032,2025-01-07,08:00:00,Completed
T0000450,R002,V0043,2025-01-05,08:00:00,Completed
T0000451,R011,V0008,2025-01-06,08:00:00,Completed
T0000452,R001,V0023,2025-01-04,08:00:00,Completed
T0000453,R010,V0044,2025-01-05,08:00:00,Completed
T0000454,R002,V0041,2025-01-06,08:00:00,Completed
T0000455,R016,V0040,2025-01-06,08:00:00,Completed
T0000456,R013,V0024,2025-01-03,08:00:00,Completed
T0000457,R015,V0037,2025-01-07,08:00:00,Completed
T0000458,R014,V0021,2025-01-04,08:00:00,Completed
T0000459,R006,V0007,2025-01-02,08:00:00,Completed
T0000460,R010,V0041,2025-01-01,08:00:00,Completed
T0000461,R005,V0023,2025-01-04,08:00:00,Completed
T0000462,R006,V0029,2025-01-01,08:00:00,Completed
T0000463,R009,V0022,2025-01-02,08:00:00,Completed
T0000464,R011,V0043,2025-01-04,08:00:00,Completed
T0000465,R009,V0032,2025-01-07,08:00:00,Completed
T0000466,R015,V0003,2025-01-01,08:00:00,Completed
T0000467,R012,V0025,2025-01-04,08:00:00,Completed
T0000468,R010,V0033,2025-01-07,08:00:00,Completed
T0000469,R003,V0049,2025-01-04,08:00:00,Completed
T0000470,R003,V0050,2025-01-04,08:00:00,Completed
T0000471,R006,V0020,2025-01-04,08:00:00,Completed
T0000472,R001,V0022,2025-01-03,08:00:00,Completed
T0000473,R016,V0012,2025-01-05,08:00:00,Completed
T0000474,R008,V0009,2025-01-07,08:00:00,Completed
T0000475,R014,V0050,2025-01-02,08:00:00,Completed
T0000476,R005,V0014,2025-01-03,08:00:00,Completed
T0000477,R016,V0016,2025-01-07,08:00:00,Completed
T0000478,R010,V0049,2025-01-02,08:00:00,Completed
T0000479,R014,V0024,2025-01-02,08:00:00,Completed
T0000480,R001,V0023,2025-01-03,08:00:00,Completed
