count_id,trip_id,stop_id,timestamp,boarding_count,alighting_count
PC0000087,T0000545,S0067,2025-01-01 08:10:00,46,30
PC0000088,T0001628,S0038,2025-01-01 08:10:00,5,8
PC0000089,T0001323,S0063,2025-01-01 08:10:00,46,10
PC0000090,T0001110,S0020,2025-01-01 08:10:00,9,30
PC0000091,T0000575,S0069,2025-01-01 08:10:00,21,28
PC0000092,T0000087,S0085,2025-01-01 08:10:00,8,6
PC0000093,T0001778,S0062,2025-01-01 08:10:00,14,6
PC0000094,T0000055,S0062,2025-01-01 08:10:00,46,16
PC0000095,T0001934,S0068,2025-01-01 08:10:00,28,11
PC0000096,T0001845,S0016,2025-01-01 08:10:00,1,3
PC0000097,T0001737,S0093,2025-01-01 08:10:00,28,8
PC0000098,T0000483,S0079,2025-01-01 08:10:00,13,13
PC0000099,T0000666,S0062,2025-01-01 08:10:00,43,2
PC0000100,T0000213,S0086,2025-01-01 08:10:00,4,21
PC0000101,T0000062,S0004,2025-01-01 08:10:00,30,14
PC0000102,T0001639,S0031,2025-01-01 08:10:00,14,1
PC0000103,T0000213,S0047,2025-01-01 08:10:00,31,7
PC0000104,T0001933,S0008,2025-01-01 08:10:00,25,21
PC0000105,T0000154,S0073,2025-01-01 08:10:00,46,19
PC0000106,T0000685,S0045,2025-01-01 08:10:00,9,30
PC0000107,T0000873,S0020,2025-01-01 08:10:00,41,11
PC0000108,T0000534,S0013,2025-01-01 08:10:00,38,11
PC0000109,T0000583,S0026,2025-01-01 08:10:00,10,5
PC0000110,T0001992,S0040,2025-01-01 08:10:00,16,15
PC0000111,T0001482,S0001,2025-01-01 08:10:00,-5,3
PC0000112,T0000977,S0037,2025-01-01 08:10:00,38,29
PC0000113,T0001816,S0009,2025-01-01 08:10:00,49,28
PC0000114,T0000496,S0030,2025-01-01 08:10:00,1,30
PC0000115,T0000726,S0093,2025-01-01 08:10:00,38,22
PC0000116,T0000512,S0022,2025-01-01 08:10:00,3,4
PC0000117,T0000809,S0048,2025-01-01 08:10:00,14,25
PC0000118,T0000105,S0059,2025-01-01 08:10:00,1,29
PC0000119,T0000272,S0021,2025-01-01 08:10:00,31,14
PC0000120,T0001275,S0099,2025-01-01 08:10:00,48,10
PC0000121,T0001716,S0023,2025-01-01 08:10:00,38,2
PC0000122,T0000344,S0072,2025-01-01 08:10:00,14,23
PC0000123,T0001178,S0003,2025-01-01 08:10:00,9,18
PC0000124,T0001571,S0010,2025-01-01 08:10:00,23,29
PC0000125,T0000099,S0020,2025-01-01 08:10:00,29,1
PC0000126,T0001375,S0057,2025-01-01 08:10:00,45,0
PC0000127,T0001498,S0035,2025-01-01 08:10:00,7,8
PC0000128,T0000465,S0052,2025-01-01 08:10:00,18,20
PC0000129,T0001921,S0057,2025-01-01 08:10:00,29,3
PC0000130,T0001379,S0050,2025-01-01 08:10:00,5,7
PC0000131,T0000963,S0085,2025-01-01 08:10:00,0,12
PC0000132,T0000358,S0043,2025-01-01 08:10:00,2,9
PC0000133,T0001389,S0007,2025-01-01 08:10:00,46,7
PC0000134,T0001571,S0054,2025-01-01 08:10:00,23,19
PC0000135,T0000061,S0047,2025-01-01 08:10:00,38,11
PC0000136,T0001456,S0006,2025-01-01 08:10:00,42,11
PC0000137,T0000765,S0054,2025-01-01 08:10:00,49,20
PC0000138,T0000474,S0061,2025-01-01 08:10:00,49,10
PC0000139,T0000501,S0046,2025-01-01 08:10:00,12,10
PC0000140,T0001267,S0072,2025-01-01 08:10:00,42,23
PC0000141,T0001770,S0014,2025-01-01 08:10:00,30,22
PC0000142,T0001980,S0008,2025-01-01 08:10:00,14,11
PC0000143,T0000163,S0094,2025-01-01 08:10:00,500,20
PC0000144,T0000895,S0023,2025-01-01 08:10:00,37,15
PC0000145,T0000235,S0036,2025-01-01 08:10:00,37,0
PC0000146,T0001866,S0043,2025-01-01 08:10:00,31,3
PC0000147,T0001618,S0042,2025-01-01 08:10:00,18,26
PC0000148,T0001214,S0051,2025-01-01 08:10:00,19,10
PC0000149,T0001531,S0042,2025-01-01 08:10:00,20,7
PC0000150,T0000775,S0030,2025-01-01 08:10:00,23,7
PC0000151,T0001129,S0051,2025-01-01 08:10:00,46,16
PC0000152,T0000524,S0017,2025-01-01 08:10:00,19,19
PC0000153,T0000264,S0030,2025-01-01 08:10:00,29,22
PC0000154,T0000462,S0056,2025-01-01 08:10:00,46,6
PC0000155,T0000778,S0010,2025-01-01 08:10:00,24,13
PC0000156,T0000298,S0026,2025-01-01 08:10:00,34,7
PC0000157,T0000862,S0007,2025-01-01 08:10:00,6,19
PC0000158,T0001908,S0039,2025-01-01 08:10:00,11,10
PC0000159,T0000848,S0036,2025-01-01 08:10:00,22,19
PC0000160,T0000119,S0051,2025-01-01 08:10:00,22,26
PC0000161,T0000879,S0038,2025-01-01 08:10:00,35,14
PC0000162,T0001272,S0076,2025-01-01 08:10:00,17,15
PC0000163,T0001224,S0001,2025-01-01 08:10:00,49,2
PC0000164,T0001138,S0095,2025-01-01 08:10:00,13,13
PC0000165,T0001128,S0048,2025-01-01 08:10:00,10,25
PC0000166,T0000199,S0028,2025-01-01 08:10:00,36,14
PC0000167,T0000311,S0033,2025-01-01 08:10:00,25,18
PC0000168,T0001251,S0003,2025-01-01 08:10:00,27,28
PC0000169,T0000094,S0095,2025-01-01 08:10:00,39,16
PC0000170,T0001846,S0056,2025-01-01 08:10:00,43,17
PC0000171,T0000058,S0011,2025-01-01 08:10:00,21,11
PC0000172,T0001627,S0022,2025-01-01 08:10:00,11,21
PC0000173,T0000726,S0070,2025-01-01 08:10:00,32,4
PC0000174,T0001438,S0056,2025-01-01 08:10:00,27,23
PC0000175,T0000949,S0039,2025-01-01 08:10:00,7,7
PC0000176,T0001226,S0019,2025-01-01 08:10:00,29,7
PC0000177,T0000434,S0029,2025-01-01 08:10:00,25,15
PC0000178,T0000908,S0015,2025-01-01 08:10:00,31,18
PC0000179,T0000189,S0045,2025-01-01 08:10:00,26,8
PC0000180,T0000414,S0006,2025-01-01 08:10:00,25,14
PC0000181,T0001054,S0027,2025-01-01 08:10:00,31,18
PC0000182,T0000178,S0070,2025-01-01 08:10:00,17,27
PC0000183,T0001126,S0058,2025-01-01 08:10:00,37,10
PC0000184,T0001036,S0027,2025-01-01 08:10:00,36,28
PC0000185,T0000425,S0053,2025-01-01 08:10:00,27,0
PC0000186,T0000225,S0018,2025-01-01 08:10:00,39,17
PC0000187,T0001695,S0044,2025-01-01 08:10:00,12,21
PC0000188,T0001988,S0053,2025-01-01 08:10:00,18,6
PC0000189,T0001009,S0061,2025-01-01 08:10:00,1,25
PC0000190,T0001454,S0080,2025-01-01 08:10:00,46,6
PC0000191,T0000192,S0014,2025-01-01 08:10:00,28,2
PC0000192,T0001165,S0022,2025-01-01 08:10:00,35,26
PC0000193,T0001337,S0008,2025-01-01 08:10:00,40,25
PC0000194,T0001304,S0060,2025-01-01 08:10:00,48,2
PC0000195,T0001244,S0079,2025-01-01 08:10:00,37,11
PC0000196,T0000997,S0063,2025-01-01 08:10:00,-5,9
PC0000197,T0001871,S0011,2025-01-01 08:10:00,26,30
PC0000198,T0001258,S0006,2025-01-01 08:10:00,10,17
PC0000199,T0000998,S0048,2025-01-01 08:10:00,20,19
PC0000200,T0001067,S0003,2025-01-01 08:10:00,45,12
PC0000201,T0001353,S0079,2025-01-01 08:10:00,22,25
PC0000202,T0000665,S0062,2025-01-01 08:10:00,39,22
PC0000203,T0001877,S0075,2025-01-01 08:10:00,11,0
PC0000204,T0000623,S0014,2025-01-01 08:10:00,500,17
PC0000205,T0000429,S0029,2025-01-01 08:10:00,4,0
PC0000206,T0001618,S0016,2025-01-01 08:10:00,47,30
PC0000207,T0000017,S0083,2025-01-01 08:10:00,43,12
PC0000208,T0001241,S0046,2025-01-01 08:10:00,49,12
PC0000209,T0000227,S0017,2025-01-01 08:10:00,5,10
PC0000210,T0000069,S0052,2025-01-01 08:10:00,2,25
PC0000211,T0001641,S0041,2025-01-01 08:10:00,25,20
PC0000212,T0000908,S0007,2025-01-01 08:10:00,4,0
PC0000213,T0000118,S0081,2025-01-01 08:10:00,29,19
PC0000214,T0000705,S0043,2025-01-01 08:10:00,5,3
PC0000215,T0000954,S0084,2025-01-01 08:10:00,15,22
PC0000216,T0001998,S0008,2025-01-01 08:10:00,18,18
PC0000217,T0001130,S0049,2025-01-01 08:10:00,17,30
PC0000218,T0000014,S0082,2025-01-01 08:10:00,49,3
PC0000219,T0001447,S0077,2025-01-01 08:10:00,31,11
PC0000220,T0000007,S0059,2025-01-01 08:10:00,7,7
PC0000221,T0001062,S0063,2025-01-01 08:10:00,28,24
PC0000222,T0001148,S0042,2025-01-01 08:10:00,43,14
PC0000223,T0001782,S0019,2025-01-01 08:10:00,38,0
PC0000224,T0000388,S0064,2025-01-01 08:10:00,3,4
PC0000225,T0001925,S0058,2025-01-01 08:10:00,47,19
PC0000226,T0000048,S0086,2025-01-01 08:10:00,43,13
PC0000227,T0000663,S0045,2025-01-01 08:10:00,33,23
PC0000228,T0000599,S0058,2025-01-01 08:10:00,15,23
PC0000229,T0001307,S0030,2025-01-01 08:10:00,30,2
PC0000230,T0000590,S0053,2025-01-01 08:10:00,34,30
PC0000231,T0000614,S0026,2025-01-01 08:10:00,46,6
PC0000232,T0001956,S0077,2025-01-01 08:10:00,3,15
PC0000233,T0001809,S0085,2025-01-01 08:10:00,3,24
PC0000234,T0000848,S0017,2025-01-01 08:10:00,48,29
PC0000235,T0001691,S0050,2025-01-01 08:10:00,26,17
PC0000236,T0001401,S0021,2025-01-01 08:10:00,29,19
PC0000237,T0001135,S0048,2025-01-01 08:10:00,27,2
PC0000238,T0001515,S0024,2025-01-01 08:10:00,0,21
PC0000239,T0001111,S0050,2025-01-01 08:10:00,0,25
PC0000240,T0000469,S0078,2025-01-01 08:10:00,34,1
PC0000241,T0000325,S0032,2025-01-01 08:10:00,14,18
PC0000242,T0000907,S0070,2025-01-01 08:10:00,6,9
PC0000243,T0001791,S0034,2025-01-01 08:10:00,18,16
PC0000244,T0001458,S0001,2025-01-01 08:10:00,18,8
PC0000245,T0000489,S0082,2025-01-01 08:10:00,27,7
PC0000246,T0000516,S0016,2025-01-01 08:10:00,33,18
PC0000247,T0000517,S0078,2025-01-01 08:10:00,42,28
PC0000248,T0001643,S0041,2025-01-01 08:10:00,18,20
PC0000249,T0001088,S0021,2025-01-01 08:10:00,18,30
PC0000250,T0000156,S0036,2025-01-01 08:10:00,50,2
PC0000251,T0000982,S0044,2025-01-01 08:10:00,14,4
PC0000252,T0000469,S0084,2025-01-01 08:10:00,20,22
PC0000253,T0000580,S0081,2025-01-01 08:10:00,49,8
PC0000254,T0000122,S0085,2025-01-01 08:10:00,34,22
PC0000255,T0001499,S0032,2025-01-01 08:10:00,7,6
PC0000256,T0001319,S0055,2025-01-01 08:10:00,26,13
PC0000257,T0000332,S0002,2025-01-01 08:10:00,26,7
PC0000258,T0001064,S0090,2025-01-01 08:10:00,45,1
PC0000259,T0001872,S0055,2025-01-01 08:10:00,9,11
PC0000260,T0001319,S0099,2025-01-01 08:10:00,21,24
PC0000261,T0000999,S0098,2025-01-01 08:10:00,29,4
PC0000262,T0001632,S0081,2025-01-01 08:10:00,1,4
PC0000263,T0000437,S0072,2025-01-01 08:10:00,2,1
PC0000264,T0000136,S0065,2025-01-01 08:10:00,24,1
PC0000265,T0001956,S0084,2025-01-01 08:10:00,12,3
PC0000266,T0001380,S0061,2025-01-01 08:10:00,14,24
PC0000267,T0000442,S0038,2025-01-01 08:10:00,25,11
PC0000268,T0000779,S0009,2025-01-01 08:10:00,22,8
PC0000269,T0000612,S0098,2025-01-01 08:10:00,17,1
PC0000270,T0001414,S0029,2025-01-01 08:10:00,9,8
PC0000271,T0001385,S0082,2025-01-01 08:10:00,33,0
PC0000272,T0001307,S0020,2025-01-01 08:10:00,46,30
PC0000273,T0000497,S0072,2025-01-01 08:10:00,36,10
PC0000274,T0001786,S0069,2025-01-01 08:10:00,3,2
PC0000275,T0000171,S0015,2025-01-01 08:10:00,7,20
PC0000276,T0000550,S0079,2025-01-01 08:10:00,4,20
PC0000277,T0000866,S0046,2025-01-01 08:10:00,26,10
PC0000278,T0001372,S0011,2025-01-01 08:10:00,26,24
PC0000279,T0001575,S0056,2025-01-01 08:10:00,12,10
PC0000280,T0000132,S0057,2025-01-01 08:10:00,24,6
PC0000281,T0001590,S0043,2025-01-01 08:10:00,39,17
PC0000282,T0001975,S0094,2025-01-01 08:10:00,32,16
PC0000283,T0001123,S0012,2025-01-01 08:10:00,28,24
PC0000284,T0000379,S0062,2025-01-01 08:10:00,31,8
PC0000285,T0001032,S0045,2025-01-01 08:10:00,37,17
PC0000286,T0000805,S0057,2025-01-01 08:10:00,16,10
PC0000287,T0001793,S0071,2025-01-01 08:10:00,3,11
PC0000288,T0000388,S0014,2025-01-01 08:10:00,50,26
PC0000289,T0000205,S0045,2025-01-01 08:10:00,12,30
PC0000290,T0001567,S0030,2025-01-01 08:10:00,32,24
PC0000291,T0000499,S0055,2025-01-01 08:10:00,39,20
PC0000292,T0000163,S0033,2025-01-01 08:10:00,45,25
PC0000293,T0000492,S0099,2025-01-01 08:10:00,4,26
PC0000294,T0000030,S0092,2025-01-01 08:10:00,20,26
PC0000295,T0000588,S0064,2025-01-01 08:10:00,2,13
PC0000296,T0000309,S0014,2025-01-01 08:10:00,0,15
PC0000297,T0000786,S0075,2025-01-01 08:10:00,16,5
PC0000298,T0000866,S0031,2025-01-01 08:10:00,4,7
PC0000299,T0000218,S0052,2025-01-01 08:10:00,16,30
PC0000300,T0000002,S0029,2025-01-01 08:10:00,8,9
PC0000301,T0001409,S0060,2025-01-01 08:10:00,22,29
PC0000302,T0000955,S0078,2025-01-01 08:10:00,4,27
PC0000303,T0001144,S0021,2025-01-01 08:10:00,25,15
PC0000304,T0000481,S0068,2025-01-01 08:10:00,39,12
PC0000305,T0001166,S0051,2025-01-01 08:10:00,24,9
PC0000306,T0001691,S0040,2025-01-01 08:10:00,47,2
PC0000307,T0001895,S0097,2025-01-01 08:10:00,1,28
PC0000308,T0000582,S0097,2025-01-01 08:10:00,47,13
PC0000309,T0000637,S0075,2025-01-01 08:10:00,4,19
PC0000310,T0001790,S0094,2025-01-01 08:10:00,48,16
PC0000311,T0001368,S0045,2025-01-01 08:10:00,4,21
PC0000312,T0000248,S0016,2025-01-01 08:10:00,31,7
PC0000313,T0001103,S0091,2025-01-01 08:10:00,15,25
PC0000314,T0000513,S0040,2025-01-01 08:10:00,14,19
PC0000315,T0000796,S0095,2025-01-01 08:10:00,8,25
PC0000316,T0001592,S0063,2025-01-01 08:10:00,24,7
PC0000317,T0001289,S0037,2025-01-01 08:10:00,43,16
PC0000318,T0000093,S0061,2025-01-01 08:10:00,36,18
PC0000319,T0000561,S0084,2025-01-01 08:10:00,39,14
PC0000320,T0001236,S0057,2025-01-01 08:10:00,34,0
PC0000321,T0000744,S0038,2025-01-01 08:10:00,24,20
PC0000322,T0000526,S0036,2025-01-01 08:10:00,50,9
PC0000323,T0000379,S0077,2025-01-01 08:10:00,20,20
PC0000324,T0001649,S0086,2025-01-01 08:10:00,23,13
PC0000325,T0000419,S0056,2025-01-01 08:10:00,23,3
PC0000326,T0001679,S0057,2025-01-01 08:10:00,500,14
PC0000327,T0001443,S0045,2025-01-01 08:10:00,42,27
PC0000328,T0000659,S0077,2025-01-01 08:10:00,16,26
PC0000329,T0001858,S0078,2025-01-01 08:10:00,17,5
PC0000330,T0001108,S0091,2025-01-01 08:10:00,35,9
PC0000331,T0001548,S0063,2025-01-01 08:10:00,37,5
PC0000332,T0001335,S0024,2025-01-01 08:10:00,0,0
PC0000333,T0001120,S0031,2025-01-01 08:10:00,40,22
PC0000334,T0000703,S0094,2025-01-01 08:10:00,32,8
PC0000335,T0000799,S0056,2025-01-01 08:10:00,26,9
PC0000336,T0000702,S0084,2025-01-01 08:10:00,43,4
PC0000337,T0000573,S0067,2025-01-01 08:10:00,21,11
PC0000338,T0000519,S0032,2025-01-01 08:10:00,14,10
PC0000339,T0000111,S0005,2025-01-01 08:10:00,8,29
PC0000340,T0000415,S0076,2025-01-01 08:10:00,9,3
PC0000341,T0001585,S0092,2025-01-01 08:10:00,29,13
PC0000342,T0000596,S0059,2025-01-01 08:10:00,33,14
PC0000343,T0000035,S0004,2025-01-01 08:10:00,5,13
PC0000344,T0000477,S0039,2025-01-01 08:10:00,10,9
PC0000345,T0000843,S0011,2025-01-01 08:10:00,24,30
PC0000346,T0000078,S0079,2025-01-01 08:10:00,12,10
PC0000347,T0000019,S0010,2025-01-01 08:10:00,5,30
PC0000348,T0001027,S0092,2025-01-01 08:10:00,50,2
PC0000349,T0000650,S0094,2025-01-01 08:10:00,45,2
PC0000350,T0001940,S0036,2025-01-01 08:10:00,40,2
PC0000351,T0001908,S0018,2025-01-01 08:10:00,1,24
PC0000352,T0001488,S0040,2025-01-01 08:10:00,29,5
PC0000353,T0001665,S0089,2025-01-01 08:10:00,4,24
PC0000354,T0000947,S0039,2025-01-01 08:10:00,40,26
PC0000355,T0000517,S0018,2025-01-01 08:10:00,38,0
PC0000356,T0001187,S0023,2025-01-01 08:10:00,45,15
PC0000357,T0001264,S0010,2025-01-01 08:10:00,45,17
PC0000358,T0001522,S0075,2025-01-01 08:10:00,18,2
PC0000359,T0000413,S0061,2025-01-01 08:10:00,32,3
PC0000360,T0000004,S0052,2025-01-01 08:10:00,35,20
PC0000361,T0001680,S0052,2025-01-01 08:10:00,44,5
PC0000362,T0001706,S0065,2025-01-01 08:10:00,21,18
PC0000363,T0000145,S0063,2025-01-01 08:10:00,29,28
PC0000364,T0000034,S0094,2025-01-01 08:10:00,11,25
PC0000365,T0001559,S0024,2025-01-01 08:10:00,18,23
PC0000366,T0000992,S0023,2025-01-01 08:10:00,44,8
PC0000367,T0001286,S0076,2025-01-01 08:10:00,11,28
PC0000368,T0001648,S0017,2025-01-01 08:10:00,37,26
PC0000369,T0000848,S0072,2025-01-01 08:10:00,2,17
PC0000370,T0000301,S0025,2025-01-01 08:10:00,33,23
PC0000371,T0000464,S0087,2025-01-01 08:10:00,7,10
PC0000372,T0000319,S0091,2025-01-01 08:10:00,44,22
PC0000373,T0001459,S0062,2025-01-01 08:10:00,44,8
PC0000374,T0000228,S0084,2025-01-01 08:10:00,18,3
PC0000375,T0000092,S0095,2025-01-01 08:10:00,40,28
PC0000376,T0000418,S0008,2025-01-01 08:10:00,20,13
PC0000377,T0000508,S0035,2025-01-01 08:10:00,5,3
PC0000378,T0000475,S0019,2025-01-01 08:10:00,21,5
PC0000379,T0000266,S0055,2025-01-01 08:10:00,50,11
PC0000380,T0001912,S0079,2025-01-01 08:10:00,42,4
PC0000381,T0001996,S0080,2025-01-01 08:10:00,45,3
PC0000382,T0000462,S0013,2025-01-01 08:10:00,20,23
PC0000383,T0000767,S0089,2025-01-01 08:10:00,8,9
PC0000384,T0001705,S0035,2025-01-01 08:10:00,48,12
PC0000385,T0000707,S0066,2025-01-01 08:10:00,50,26
PC0000386,T0001787,S0086,2025-01-01 08:10:00,21,0
PC0000387,T0001105,S0058,2025-01-01 08:10:00,26,22
PC0000388,T0001342,S0083,2025-01-01 08:10:00,8,18
PC0000389,T0000687,S0038,2025-01-01 08:10:00,9,16
PC0000390,T0000625,S0071,2025-01-01 08:10:00,37,30
PC0000391,T0001043,S0091,2025-01-01 08:10:00,5,20
PC0000392,T0000791,S0008,2025-01-01 08:10:00,16,9
PC0000393,T0001667,S0087,2025-01-01 08:10:00,37,7
PC0000394,T0001107,S0046,2025-01-01 08:10:00,14,20
PC0000395,T0001447,S0061,2025-01-01 08:10:00,25,8
PC0000396,T0000909,S0016,2025-01-01 08:10:00,18,23
PC0000397,T0000486,S0013,2025-01-01 08:10:00,4,12
PC0000398,T0000280,S0052,2025-01-01 08:10:00,17,22
PC0000399,T0000847,S0059,2025-01-01 08:10:00,6,5
PC0000400,T0001738,S0097,2025-01-01 08:10:00,16,9
PC0000401,T0001246,S0023,2025-01-01 08:10:00,42,27
PC0000402,T0001177,S0099,2025-01-01 08:10:00,33,4
PC0000403,T0000425,S0042,2025-01-01 08:10:00,2,14
PC0000404,T0001064,S0008,2025-01-01 08:10:00,24,29
PC0000405,T0000621,S0008,2025-01-01 08:10:00,46,25
PC0000406,T0001786,S0072,2025-01-01 08:10:00,46,22
PC0000407,T0000171,S0097,2025-01-01 08:10:00,26,7
PC0000408,T0000153,S0058,2025-01-01 08:10:00,41,7
PC0000409,T0000715,S0024,2025-01-01 08:10:00,39,10
PC0000410,T0001713,S0014,2025-01-01 08:10:00,40,29
PC0000411,T0001306,S0097,2025-01-01 08:10:00,14,1
PC0000412,T0001517,S0061,2025-01-01 08:10:00,50,19
PC0000413,T0000966,S0097,2025-01-01 08:10:00,30,20
PC0000414,T0000732,S0090,2025-01-01 08:10:00,31,27
PC0000415,T0001460,S0036,2025-01-01 08:10:00,4,28
PC0000416,T0000791,S0012,2025-01-01 08:10:00,17,3
PC0000417,T0000652,S0035,2025-01-01 08:10:00,46,11
PC0000418,T0000377,S0056,2025-01-01 08:10:00,45,5
PC0000419,T0000243,S0013,2025-01-01 08:10:00,19,20
PC0000420,T0000695,S0090,2025-01-01 08:10:00,0,24
PC0000421,T0001681,S0093,2025-01-01 08:10:00,47,29
PC0000422,T0001663,S0021,2025-01-01 08:10:00,50,30
PC0000423,T0001690,S0039,2025-01-01 08:10:00,0,16
PC0000424,T0000622,S0034,2025-01-01 08:10:00,20,10
PC0000425,T0001194,S0051,2025-01-01 08:10:00,5,5
PC0000426,T0000992,S0013,2025-01-01 08:10:00,37,21
PC0000427,T0000960,S0080,2025-01-01 08:10:00,47,23
PC0000428,T0001704,S0086,2025-01-01 08:10:00,31,11
PC0000429,T0001167,S0087,2025-01-01 08:10:00,13,17
PC0000430,T0001960,S0038,2025-01-01 08:10:00,39,26
PC0000431,T0000507,S0089,2025-01-01 08:10:00,27,0
PC0000432,T0001666,S0005,2025-01-01 08:10:00,24,0
PC0000433,T0000897,S0083,2025-01-01 08:10:00,4,3
PC0000434,T0000916,S0093,2025-01-01 08:10:00,24,10
PC0000435,T0000512,S0062,2025-01-01 08:10:00,8,4
