stop_id,stop_name,latitude,longitude,zone
S0068,Stop 68,40.6428704835399,-74.03375965931295,Zone 6
S0069,Stop 69,40.618238916979,-74.07392668345281,Zone 9
S0070,Stop 70,40.799690167172116,-74.06617354634747,Zone 1
S0071,Stop 71,40.71214047197956,-74.00615348682338,Zone 5
S0072,Stop 72,40.79404201954221,-73.97218118395874,Zone 10
S0073,Stop 73,40.70941786342502,-73.99914867558469,Zone 4
S0074,Stop 74,40.774901912804815,-74.02265500737846,Zone 6
S0075,Stop 75,40.64830522997596,-73.96259098612094,Zone 3
S0076,Stop 76,40.7275289321198,-73.90720961079573,Zone 3
S0077,Stop 77,40.66534035457183,-73.96701265366275,Zone 2
S0078,Stop 78,40.665200331554836,-73.91985131457821,Zone 3
S0079,Stop 79,40.703836795669346,-73.96915644109367,Zone 8
S0080,Stop 80,40.7167696840696,-74.05058795775118,Zone 5
S0081,Stop 81,40.7831514059326,-73.98001105527246,Zone 3
S0082,Stop 82,40.70947334788608,-74.06908489408836,Zone 10
S0083,Stop 83,40.79215279453135,-73.92989694458542,Zone 8
S0084,Stop 84,40.658396666315255,-74.07811863577473,Zone 7
S0085,Stop 85,40.72167555630567,-74.01834473443503,Zone 9
S0086,Stop 86,40.64470588395452,-73.99400061084434,Zone 8
S0087,Stop 87,40.675560868010194,-73.9096598840183,Zone 6
S0088,Stop 88,40.75869558503795,-74.0811228495456,Zone 3
S0089,Stop 89,40.61889096401229,-74.04692510089642,Zone 5
S0090,Stop 90,40.73922720914171,-74.00344863425147,Zone 1
S0091,Stop 91,40.63152958439399,-73.99298641076838,Zone 5
S0092,Stop 92,40.73508137241141,-74.01370361712166,Zone 6
S0093,Stop 93,40.80171725231386,-73.98337553376369,Zone 2
S0094,Stop 94,40.774746174721656,-74.00633649722096,Zone 9
S0095,Stop 95,40.6428798827302,-73.91680251806687,Zone 3
S0096,Stop 96,40.715484402916346,-74.07031188137165,Zone 7
S0097,Stop 97,40.76246259713687,-73.93055110954833,Zone 4
S0098,Stop 98,40.64893811970792,-74.0071736552382,Zone 4
S0099,Stop 99,40.78144926586288,-73.99347885201591,Zone 4
S0100,Stop 100,40.67153247565279,-73.91614932543423,Zone 3
